"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness.
* Indicates LGAs with apparent data issues resulting in coverage rates that may not be representative and should be treated with caution. ",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data extracted from AIR - as at 2359hrs on 05 December 2021,,,,,
LGA 2019 Name of Residence,State of Residence,Remoteness,% Received dose 1,% Received dose 2,LGA Population
Hornsby (A),New South Wales,Major Cities of Australia,>95%,>95%," 122,259 "
Hunters Hill (A),New South Wales,Major Cities of Australia,89.5%,88.4%," 12,189 "
Inner West (A),New South Wales,Major Cities of Australia,83.4%,82.2%," 171,244 "
Inverell (A),New South Wales,Outer Regional Australia,>95%,92.2%," 13,454 "
Junee (A)*,New South Wales,Inner Regional Australia,85.2%,83.5%," 5,520 "
Kempsey (A),New South Wales,Inner Regional Australia,>95%,>95%," 24,440 "
Kiama (A),New South Wales,Inner Regional Australia,>95%,>95%," 19,363 "
Ku-ring-gai (A),New South Wales,Major Cities of Australia,>95%,>95%," 101,869 "
Kyogle (A),New South Wales,Inner Regional Australia,>95%,91.2%," 7,285 "
Lachlan (A),New South Wales,Outer Regional Australia,>95%,>95%," 4,668 "
Lake Macquarie (C),New South Wales,Major Cities of Australia,>95%,>95%," 167,047 "
Lane Cove (A),New South Wales,Major Cities of Australia,93.4%,92.4%," 32,784 "
Leeton (A),New South Wales,Outer Regional Australia,>95%,>95%," 9,024 "
Lismore (C),New South Wales,Inner Regional Australia,>95%,91.8%," 35,892 "
Lithgow (C),New South Wales,Inner Regional Australia,92.5%,90.6%," 17,865 "
Liverpool (C),New South Wales,Major Cities of Australia,>95%,93.0%," 176,376 "
Liverpool Plains (A),New South Wales,Outer Regional Australia,95.0%,92.1%," 6,396 "
Lockhart (A),New South Wales,Outer Regional Australia,>95%,>95%," 2,585 "
Maitland (C),New South Wales,Major Cities of Australia,>95%,>95%," 66,688 "
Mid-Coast (A),New South Wales,Inner Regional Australia,>95%,>95%," 79,221 "
Mid-Western Regional (A),New South Wales,Inner Regional Australia,>95%,>95%," 19,963 "
Moree Plains (A),New South Wales,Outer Regional Australia,90.8%,86.5%," 10,216 "
Mosman (A),New South Wales,Major Cities of Australia,92.3%,91.3%," 25,604 "
Murray River (A),New South Wales,Inner Regional Australia,>95%,>95%," 9,910 "
Murrumbidgee (A),New South Wales,Outer Regional Australia,93.8%,90.5%," 3,114 "
Muswellbrook (A),New South Wales,Inner Regional Australia,>95%,>95%," 12,673 "
Nambucca (A),New South Wales,Outer Regional Australia,>95%,>95%," 16,485 "
Narrabri (A),New South Wales,Outer Regional Australia,>95%,94.2%," 10,213 "
Narrandera (A),New South Wales,Outer Regional Australia,>95%,>95%," 4,651 "
Narromine (A),New South Wales,Outer Regional Australia,>95%,>95%," 5,093 "
Newcastle (C),New South Wales,Major Cities of Australia,94.4%,92.7%," 137,452 "
North Sydney (A),New South Wales,Major Cities of Australia,85.5%,84.5%," 65,324 "
Northern Beaches (A),New South Wales,Major Cities of Australia,>95%,>95%," 221,234 "
Oberon (A),New South Wales,Inner Regional Australia,>95%,94.2%," 4,472 "
Orange (C),New South Wales,Inner Regional Australia,>95%,>95%," 33,170 "
Parkes (A),New South Wales,Outer Regional Australia,>95%,>95%," 11,785 "
Parramatta (C),New South Wales,Major Cities of Australia,>95%,94.0%," 209,432 "
Penrith (C),New South Wales,Major Cities of Australia,>95%,94.4%," 167,408 "
Port Macquarie-Hastings (A),New South Wales,Inner Regional Australia,>95%,>95%," 70,143 "
Port Stephens (A),New South Wales,Inner Regional Australia,>95%,>95%," 60,306 "
Queanbeyan-Palerang Regional (A),New South Wales,Major Cities of Australia,>95%,>95%," 48,845 "
Randwick (C),New South Wales,Major Cities of Australia,81.8%,79.9%," 133,377 "
Richmond Valley (A),New South Wales,Inner Regional Australia,>95%,93.1%," 18,938 "
Ryde (C),New South Wales,Major Cities of Australia,92.4%,91.2%," 110,141 "
Shellharbour (C),New South Wales,Major Cities of Australia,>95%,>95%," 58,715 "
Shoalhaven (C),New South Wales,Inner Regional Australia,>95%,>95%," 87,725 "
Singleton (A),New South Wales,Inner Regional Australia,>95%,>95%," 18,334 "
Snowy Monaro Regional (A),New South Wales,Outer Regional Australia,>95%,>95%," 17,214 "
Snowy Valleys (A),New South Wales,Inner Regional Australia,>95%,>95%," 11,726 "
Strathfield (A),New South Wales,Major Cities of Australia,92.9%,91.1%," 40,017 "
Sutherland Shire (A),New South Wales,Major Cities of Australia,>95%,>95%," 187,018 "
Sydney (C),New South Wales,Major Cities of Australia,75.6%,74.0%," 229,059 "
Tamworth Regional (A),New South Wales,Inner Regional Australia,>95%,>95%," 49,648 "
Temora (A),New South Wales,Outer Regional Australia,>95%,>95%," 5,095 "
Tenterfield (A),New South Wales,Outer Regional Australia,93.9%,88.5%," 5,553 "
The Hills Shire (A),New South Wales,Major Cities of Australia,>95%,>95%," 140,271 "
Tweed (A),New South Wales,Major Cities of Australia,91.7%,88.0%," 80,193 "
Upper Hunter Shire (A),New South Wales,Inner Regional Australia,>95%,>95%," 11,302 "
Upper Lachlan Shire (A),New South Wales,Inner Regional Australia,>95%,>95%," 6,603 "
Uralla (A),New South Wales,Outer Regional Australia,>95%,>95%," 4,895 "
Wagga Wagga (C),New South Wales,Inner Regional Australia,>95%,>95%," 51,794 "
Walcha (A),New South Wales,Outer Regional Australia,>95%,>95%," 2,585 "
Walgett (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,688 "
Warren (A),New South Wales,Outer Regional Australia,>95%,>95%," 2,115 "
Warrumbungle Shire (A),New South Wales,Outer Regional Australia,>95%,92.7%," 7,566 "
